	date	power
0	2016-04-01	71626
1	2016-04-02	69778
2	2016-04-03	63798
3	2016-04-04	70949
4	2016-04-05	76572
5	2016-04-06	71918
6	2016-04-07	76125
7	2016-04-08	71008
8	2016-04-09	63956
9	2016-04-10	60860
10	2016-04-11	71974
11	2016-04-12	75294
12	2016-04-13	74426
13	2016-04-14	73648
14	2016-04-15	71072
15	2016-04-16	65129
16	2016-04-17	62243
17	2016-04-18	69346
18	2016-04-19	69886
19	2016-04-20	70374
20	2016-04-21	72467
21	2016-04-22	71650
22	2016-04-23	65648
23	2016-04-24	61722
24	2016-04-25	69337
25	2016-04-26	72682
26	2016-04-27	72122
27	2016-04-28	72332
28	2016-04-29	63948
29	2016-04-30	61786
30	2016-05-01	58282
31	2016-05-02	63474
32	2016-05-03	58983
33	2016-05-04	58690
34	2016-05-05	58930
35	2016-05-06	65718
36	2016-05-07	65133
37	2016-05-08	60612
38	2016-05-09	69554
39	2016-05-10	72401
40	2016-05-11	73217
41	2016-05-12	73195
42	2016-05-13	73783
43	2016-05-14	66058
44	2016-05-15	61356
45	2016-05-16	70647
46	2016-05-17	73343
47	2016-05-18	72231
48	2016-05-19	71937
49	2016-05-20	70976
50	2016-05-21	65751
51	2016-05-22	62839
52	2016-05-23	74517
53	2016-05-24	78288
54	2016-05-25	76192
55	2016-05-26	76618
56	2016-05-27	73033
57	2016-05-28	64456
58	2016-05-29	60987
59	2016-05-30	69516
60	2016-05-31	71196
61	2016-06-01	70825
62	2016-06-02	70304
63	2016-06-03	70214
64	2016-06-04	65344
65	2016-06-05	59785
66	2016-06-06	69678
67	2016-06-07	72071
68	2016-06-08	73539
69	2016-06-09	74555
70	2016-06-10	75644
71	2016-06-11	68034
72	2016-06-12	64572
73	2016-06-13	72350
74	2016-06-14	73759
75	2016-06-15	72861
76	2016-06-16	74250
77	2016-06-17	77900
78	2016-06-18	72069
79	2016-06-19	66144
80	2016-06-20	79664
81	2016-06-21	78933
82	2016-06-22	77168
83	2016-06-23	78029
84	2016-06-24	76065
85	2016-06-25	71671
86	2016-06-26	67188
87	2016-06-27	77476
88	2016-06-28	74806
89	2016-06-29	74863
90	2016-06-30	75909
91	2016-07-01	80622
92	2016-07-02	76417
93	2016-07-03	78475
94	2016-07-04	89812
95	2016-07-05	78213
96	2016-07-06	78125
